----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.8,  512,      0.0,      0.3,    -9.80,      0.0,      0.0,      0.0

   11.89,  512,      0.9,      0.1,    -9.81,      0.0,      0.0,      0.1

   18.15,  512,      0.3,      0.0,    -9.75,      0.0,      0.0,      0.2

   24.61,  512,     0.24,      0.8,    -9.76,      0.0,      0.0,      0.4

   31.17,  512,     0.24,      0.1,    -9.77,      0.1,      0.1,      0.9

   37.69,  512,     0.22,      0.2,    -9.80,      0.0,      0.0,      0.1

   44.30,  512,     0.88,      0.6,    -9.84,      0.0,      0.2,     0.20

   50.94,  512,     0.13,      0.1,    -9.85,      0.0,      0.2,     0.19

   57.54,  512,    -1.88,     0.30,    -9.67,      0.1,      0.4,     0.49

   64.18,  512,      1.0,      0.1,    -9.75,      0.0,      0.1,      0.7

   70.80,  512,     0.10,     0.23,    -9.99,      0.2,      0.2,     0.40

   77.39,  512,     0.53,      0.8,    -9.66,      0.2,      0.2,     0.53

    84.0,  512,     2.27,     0.20,    -10.8,      0.1,      0.5,     0.57

   90.68,  512,    -2.27,     0.29,    -9.63,      0.1,      0.6,     0.59

   97.37,  512,     1.52,     0.24,   -10.12,      0.1,      0.5,     0.59

   104.2,  512,    -2.14,     0.17,    -9.73,      0.2,      0.6,     0.57

  110.64,  512,      0.7,     0.36,   -10.68,      0.0,     0.10,     0.44

  117.18,  512,      1.4,     0.15,    -9.54,      0.2,      0.0,     0.21

  123.83,  512,    -5.43,     0.93,    -9.71,     0.13,     0.13,     0.19

  130.44,  512,     6.67,    -3.22,    -5.89,     0.41,     0.29,     0.58

  137.13,  512,    -5.48,     1.35,   -10.38,     0.35,     0.55,     0.54

  143.81,  512,     4.93,      1.2,   -10.31,     0.15,     0.90,     0.27

  150.41,  512,     2.79,    -2.71,    -8.45,      0.6,     0.57,     0.30

   157.0,  512,    -4.80,     7.26,   -16.96,     0.64,     0.48,     0.61

  163.62,  512,     5.28,    -6.32,    -3.98,     -1.2,     0.17,     0.67

  170.22,  512,    -3.77,    -1.56,    -8.60,     0.73,     0.31,     0.33

  176.82,  512,     0.99,    -1.96,    -8.92,     0.83,     0.26,     0.21

  183.36,  512,     1.17,    -5.68,    -3.11,      0.9,     0.50,     0.37

  189.93,  512,     1.42,    10.41,   -22.50,     0.68,     0.64,     0.74

  196.61,  512,     0.82,    -8.66,     1.71,     0.63,     0.48,     0.48

  203.13,  512,     2.20,    15.29,   -17.43,     1.63,     0.63,     0.36

  209.84,  512,    -2.68,    -6.97,     0.68,    -1.46,     0.35,     0.10

  216.41,  512,      1.4,    -4.41,     -7.2,     0.58,     0.10,     0.47

  222.96,  512,     0.69,     4.69,   -23.71,      0.4,     0.35,     0.64

  229.53,  512,     1.27,    -8.58,     0.40,     0.81,     0.41,     0.56

   236.7,  512,     1.12,    13.39,   -15.20,     1.53,     0.51,     0.31

  242.82,  512,    -2.90,     -6.8,    -3.23,    -1.34,     0.54,     0.17

  249.45,  512,     0.75,    -5.74,    -5.90,     0.32,     0.25,     0.28

   256.0,  512,     1.61,      7.4,   -24.78,     0.48,     0.50,     0.61

  262.62,  512,      0.4,    -8.83,     0.90,     -1.8,     0.41,     0.49

  269.14,  512,     1.14,      4.9,    -12.7,     1.48,     0.52,      0.1

  275.82,  512,    -2.79,     -4.5,    -4.69,    -1.16,      0.4,     0.38

  282.44,  512,     0.67,    -7.45,    -3.85,     0.11,     0.30,     0.70

  288.95,  512,     1.62,    11.60,   -21.81,     1.11,     0.48,     0.53

  295.71,  512,     0.87,    -8.59,     0.35,    -1.17,     0.30,      0.7

  302.23,  512,     1.19,     0.62,    -8.42,     1.24,      0.0,     0.30

  308.77,  512,    -2.34,     2.25,   -12.90,     0.27,     0.14,     0.58

  315.43,  512,      1.8,     -9.4,    -1.34,     0.72,     0.33,     0.56

  321.96,  512,     1.16,     8.36,    -18.5,     1.37,     0.50,     0.30

  328.64,  512,    -3.24,    -6.60,    -2.66,    -1.30,     0.55,     0.11

  335.32,  512,     1.41,    -4.48,    -5.59,     0.38,     0.18,     0.57

  341.85,  512,     1.39,      8.7,   -23.38,     0.57,     0.49,     0.65

  348.44,  512,      0.4,    -9.41,      0.9,    -1.15,     0.40,     0.45

  354.97,  512,     0.89,     9.41,   -12.64,     1.40,     0.28,      0.6

  361.64,  512,    -3.22,    -3.76,    -5.79,    -1.35,     0.12,     0.36

  368.33,  512,     1.38,    -6.87,    -3.30,      0.0,     0.30,     0.60

  374.86,  512,     1.96,    11.36,   -23.28,     0.98,     0.59,     0.59

  381.48,  512,    -1.14,     -9.2,     0.24,    -1.37,     0.38,     0.21

   388.5,  512,     0.67,     0.85,    -10.3,     1.20,      0.5,     0.16

  394.55,  512,    -2.70,    -1.18,    -8.75,     0.88,      0.9,     0.51

  401.16,  512,     1.13,    -7.96,    -2.43,     0.24,     0.30,     0.65

  407.79,  512,     0.98,    12.75,   -20.45,     1.27,     0.49,     0.48

  414.47,  512,    -1.46,    -8.61,     0.15,    -1.50,     0.33,      0.3

   421.7,  512,     0.90,    -1.23,    -7.98,     0.91,      0.4,     0.37

  427.55,  512,    -1.93,     2.45,   -12.67,     0.51,     0.21,     0.58

  434.24,  512,     1.15,    -8.94,    -1.60,     0.60,     0.34,     0.59

  440.86,  512,     0.99,     9.12,   -18.39,     1.41,     0.50,     0.36

  447.47,  512,    -2.32,    -7.13,    -1.60,    -1.37,     0.54,      0.6

   454.7,  512,      1.8,     -3.4,    -6.45,     0.73,     0.14,     0.43

  460.65,  512,    -1.44,     4.35,   -22.72,     0.12,     0.35,     0.63

  467.28,  512,     0.86,     -9.5,     0.78,     0.87,     0.35,     0.81

  473.71,  512,     0.90,    12.10,   -15.59,     1.47,     0.39,     0.28

  480.45,  512,    -2.74,    -6.23,    -2.89,    -1.38,     0.17,     0.19

  487.10,  512,     1.13,    -5.12,    -5.85,     0.32,     0.24,     0.28

  493.68,  512,     0.88,     7.42,   -23.61,     0.55,     0.46,     0.62

  500.21,  512,     0.62,    -8.91,     0.40,     -1.5,     0.31,     0.41

  506.78,  512,     0.60,     4.42,   -12.92,     1.44,     0.52,     0.10

  513.47,  512,    -2.71,    -4.71,    -4.90,    -1.20,      0.8,     0.33

   520.9,  512,      1.3,    -6.26,    -5.27,     0.12,     0.31,     0.57

  526.68,  512,     0.83,    10.10,    -24.5,     0.89,     0.52,     0.62

  533.20,  512,     0.72,    -8.83,      1.0,    -1.11,     0.37,     0.39

  539.80,  512,     0.73,     4.25,   -12.78,     1.44,     0.27,      0.5

  546.47,  512,    -2.69,    -4.98,   -11.50,    -1.25,      0.9,     0.31

  553.17,  512,     0.81,    -5.99,    -5.23,     0.10,     0.31,     0.60

  559.69,  512,     0.95,     13.0,   -23.79,     0.76,     0.48,     0.60

  566.20,  512,     0.61,    -8.80,     0.88,    -1.11,     0.31,     0.37

  572.80,  512,     0.58,     4.18,   -13.32,     1.38,     0.24,      0.6

  579.47,  512,    -2.73,    -5.16,   -11.45,    -1.18,      0.7,     0.36

  586.15,  512,     0.71,    -5.57,    -5.31,     0.14,     0.32,     0.57

  592.68,  512,     1.11,    12.92,   -23.41,     0.85,     0.55,     0.57

  599.30,  512,     0.56,    -8.63,     0.82,    -1.14,     0.36,     0.31

  605.82,  512,     0.60,     4.49,   -13.83,     1.36,     0.28,      0.5

  612.47,  512,     -2.4,    -5.43,   -11.13,    -1.25,     0.11,     0.36

  619.12,  512,     0.50,    -5.34,     -6.8,     0.10,     0.30,     0.53

  625.62,  512,     1.17,    12.52,   -22.59,     0.74,     0.51,     0.60

  632.30,  512,     0.59,    -8.37,     0.98,    -1.10,     0.37,     0.36

  638.82,  512,     0.77,     5.23,   -13.86,     1.41,     0.23,      0.6

  645.42,  512,    -2.11,    -5.44,   -11.30,    -1.20,      0.7,     0.34

  652.18,  512,     0.71,    -5.22,    -5.94,     0.13,     0.34,     0.62

  658.70,  512,     1.16,     12.8,   -22.64,     0.86,     0.26,     0.59

  665.32,  512,     0.39,     -9.0,     0.45,    -1.16,     0.32,     0.33

  671.83,  512,     0.90,     4.23,   -13.57,     1.55,     0.17,      0.7

  678.50,  512,     -2.4,    -3.14,   -12.62,     0.97,      0.0,     0.44

   685.3,  512,     0.95,    -6.29,    -4.51,     0.17,     0.30,     0.60

  691.62,  512,     1.14,    12.35,   -22.82,      1.3,     0.51,     0.55

  698.33,  512,     0.69,    -8.84,    -1.70,    -1.34,     0.30,     0.11

  704.94,  512,     0.86,     1.80,   -11.18,      1.4,      0.6,     0.22

  711.53,  512,    -1.60,      5.0,   -15.86,     0.78,     0.12,     0.54

  718.10,  512,     1.39,    -7.40,    -2.78,     0.38,     0.34,     0.57

  724.72,  512,     0.87,    12.13,    -22.4,     1.30,     0.54,     0.44

  731.31,  512,    -2.29,    -8.43,    -3.32,    -1.42,     0.28,      0.9

  737.93,  512,      0.4,    -1.27,    -9.14,     0.80,     0.13,     0.34

  744.43,  512,     0.36,      8.4,   -19.71,     0.18,     0.30,     0.55

   751.3,  512,     1.58,    -7.40,    -1.63,     0.51,     0.39,     0.59

  757.63,  512,      1.9,    11.38,   -20.62,     1.42,     0.55,     0.46

  764.34,  512,    -1.89,    -8.70,    -3.48,    -1.50,     0.28,      0.3

  770.92,  512,     0.30,    -1.18,    -9.18,     0.77,     0.14,     0.33

  777.45,  512,     0.18,     6.91,    -18.8,     0.38,     0.26,     0.54

   784.3,  512,      1.2,    -7.14,    -2.75,     0.14,     0.41,     0.55

  790.64,  512,     1.58,    13.34,   -22.88,     1.39,     0.64,     0.49

  797.40,  512,    -1.69,    -7.25,     -2.4,    -1.42,     0.38,     0.11

   804.2,  512,     0.31,     1.54,   -11.76,     1.24,      0.0,     0.16

  810.54,  512,    -1.57,     1.18,   -12.46,     0.89,      0.4,     0.42

  817.13,  512,     0.28,    -5.59,     -1.2,     0.18,     0.36,     0.52

  823.63,  512,     1.54,    13.84,   -23.84,      1.3,     0.57,     0.81

  830.34,  512,     0.29,    -7.94,      0.0,     0.90,     0.37,     0.32

  836.78,  512,     0.34,     5.94,   -15.16,     1.36,     0.29,     0.12

  843.51,  512,    -2.26,    -2.89,    -8.12,    -1.28,     0.14,     0.22

  850.24,  512,     0.84,    -3.84,    -3.77,     0.44,     0.33,     0.49

  856.74,  512,     0.91,    11.30,   -21.91,     0.65,     0.57,     0.61

  863.33,  512,     1.10,     -8.4,     0.49,     0.84,     0.43,     0.48

  869.83,  512,     0.75,    10.86,    -20.7,     1.47,     0.78,     0.34

  876.52,  512,    -1.54,     -7.0,    -3.36,    -1.54,     0.30,      0.6

  883.15,  512,     0.82,     0.21,    -7.21,     0.76,     0.15,     0.24

  889.66,  512,     0.91,     1.43,   -12.56,     0.88,     0.20,     0.44

  896.26,  512,      1.0,    -6.78,    -1.75,     0.13,     0.43,     0.52

  902.87,  512,     1.87,    13.42,   -23.31,     1.14,     0.68,     0.52

  909.65,  512,     0.43,    -8.59,     0.34,    -1.23,     0.41,     0.37

  916.13,  512,    -1.65,     8.93,    -12.7,     1.55,     0.29,     0.17

  922.80,  512,    -1.50,    -6.19,    -3.88,    -1.47,     0.26,      0.4

  929.42,  512,     0.82,     -4.3,    -6.68,     0.56,     0.25,     0.29

