----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.7,  512,      0.1,      0.0,    -9.81,      0.0,      0.0,      0.0

   11.89,  512,      0.4,      0.4,    -9.85,      0.0,      0.0,      0.0

   18.13,  512,     0.14,      0.0,    -9.78,      0.0,      0.0,      0.0

   24.64,  512,      0.6,     0.13,    -9.82,      0.0,      0.1,      0.1

   31.23,  512,      0.2,      0.1,    -9.81,      0.0,      0.0,      0.0

   37.74,  512,     0.30,      0.1,    -9.85,      0.1,      0.2,      0.0

   44.29,  512,     0.65,     0.12,    -9.86,      0.0,      0.2,      0.1

   50.90,  512,     0.73,     0.20,    -9.79,      0.2,      0.4,      0.9

   57.56,  512,    -3.27,     0.44,    -9.75,      0.3,      0.4,      0.6

   64.25,  512,     2.14,     -1.6,    -10.1,     0.16,      0.2,     0.36

   70.95,  512,     0.72,     0.70,    -9.98,      0.8,     0.16,     0.36

   77.54,  512,     0.40,     0.37,    -9.56,      0.7,      0.3,     0.15

   84.14,  512,      3.4,     1.68,    -8.89,     0.13,     0.14,      0.6

   90.82,  512,    -2.14,    -1.69,   -11.84,      0.8,     0.21,     0.20

   97.51,  512,      3.8,     0.50,    -9.52,     0.16,     0.53,      0.9

   104.2,  512,    -5.76,    -4.55,   -15.52,     0.12,     0.89,     0.20

  110.72,  512,     6.36,     5.59,    -9.52,     0.35,    -1.10,     0.29

  117.41,  512,    -8.28,    -6.86,   -23.17,     0.27,      1.9,      0.0

   124.0,  512,     6.85,    10.29,   -11.93,     0.22,     -1.6,     0.98

  130.68,  512,    -5.34,   -14.15,   -13.11,     0.12,     0.44,     0.71

  137.26,  512,     4.19,    17.63,    -17.0,     1.13,     0.44,    -1.36

  143.97,  512,     0.30,   -11.36,    -3.49,     0.17,     0.57,     0.81

  150.42,  512,     0.19,    20.42,   -11.57,      2.0,     -1.0,    -1.24

  157.10,  512,     0.33,   -14.53,    -4.66,    -2.26,     0.65,     0.18

  163.69,  512,    -3.49,     2.40,   -13.40,     2.72,     0.21,     0.15

  170.28,  512,     2.73,     -5.6,     2.93,    -2.14,     0.15,     0.75

  176.89,  512,    -1.56,    -9.32,   -17.77,     0.81,     0.31,     0.82

  183.43,  512,    -4.78,    10.22,    -9.49,     0.99,      0.3,     0.95

   190.0,  512,     6.25,   -12.77,    -6.94,    -1.51,     0.50,     0.38

  196.69,  512,    -2.88,     4.26,   -27.24,     1.35,     0.73,     0.11

  203.31,  512,     3.11,     0.16,     5.66,     0.77,      0.3,     0.30

  209.74,  512,     2.58,    -7.59,   -15.65,     0.18,     0.66,     0.24

  216.39,  512,    -3.90,     0.93,   -12.62,     0.61,      0.0,      0.5

  222.94,  512,     6.84,     0.13,     1.11,     0.35,     -1.8,      0.2

  229.51,  512,    -8.27,     0.52,    -25.7,     1.25,     1.61,     0.10

  236.22,  512,     4.25,    -1.90,      0.1,      0.6,     0.48,     0.10

  242.72,  512,     7.20,     4.61,   -11.70,     0.55,    -1.94,     0.15

  249.42,  512,   -17.55,     5.66,   -17.95,     1.96,     1.65,     0.25

  256.12,  512,    11.49,    -5.36,     0.61,     0.55,     0.81,     0.12

  262.61,  512,     3.62,     0.13,    -18.9,     0.25,     -2.1,     0.19

  269.21,  512,   -14.74,    11.20,   -22.52,     1.46,      1.0,     0.38

  275.92,  512,    10.66,    -6.26,    -2.29,     0.30,     1.57,     0.24

  282.53,  512,     5.74,     0.98,    -27.5,     0.15,    -2.36,     0.15

   289.3,  512,    -4.57,     3.12,     0.66,     0.17,     0.64,     0.35

  295.54,  512,     5.44,    -6.44,     -7.7,     0.27,     2.10,     0.62

  302.21,  512,     3.99,     0.82,    -26.9,     0.55,    -1.52,     0.19

  308.83,  512,     3.55,    -3.77,     2.53,    -1.28,    -1.76,     0.11

  315.54,  512,    -3.66,    -6.32,   -13.64,      1.3,     2.39,     0.27

  322.20,  512,     4.76,    -1.62,    -5.69,     0.89,      0.0,     0.31

  328.63,  512,     7.31,    -4.70,    -4.18,     -1.5,    -2.34,     0.45

  335.33,  512,   -13.89,    -1.55,   -17.18,     1.48,     2.30,     0.12

   342.2,  512,      8.9,    -3.23,      3.7,     0.51,     0.99,     0.14

  348.42,  512,     5.39,     0.64,   -12.68,     0.55,    -2.49,     0.44

   355.4,  512,   -20.89,    17.48,   -21.72,     2.17,     1.49,     0.22

  361.81,  512,    11.27,    -5.49,    -1.43,     0.27,     1.58,     0.11

  368.35,  512,     4.76,     2.56,   -23.79,     0.54,    -2.42,     0.17

  374.93,  512,    -7.33,     6.89,    -1.61,     0.54,     0.51,      0.1

  381.46,  512,      7.9,     -6.9,     -8.6,     0.24,     2.12,     0.35

  387.99,  512,     3.80,    -2.48,   -25.45,     0.90,    -1.60,     0.15

  394.73,  512,     3.61,    -2.31,     2.23,     -1.0,    -1.72,      0.0

  401.34,  512,    -2.68,    -5.86,   -13.60,     0.96,     2.46,     0.32

  407.94,  512,     3.50,    -1.85,     0.96,     0.84,      0.3,     0.36

  414.36,  512,     7.26,    -4.50,    -3.44,    -1.10,    -2.30,     0.30

  421.13,  512,   -13.61,     8.50,   -16.99,     1.86,     1.92,      0.3

  427.82,  512,     8.53,    -4.48,     2.83,     0.74,     0.90,     0.31

  434.28,  512,     6.91,    -2.20,   -14.69,     0.58,    -2.51,     0.32

  440.93,  512,    -21.3,    16.94,   -22.77,      2.4,     1.16,     0.35

  447.64,  512,     11.0,    -5.39,     0.22,     0.24,     1.58,      0.1

   454.7,  512,     5.83,     0.14,    -26.4,     0.58,    -2.41,      0.7

  460.65,  512,     -8.0,     6.87,     0.76,     0.42,     0.55,     0.42

  467.15,  512,      7.7,    -7.70,    -9.14,     0.28,     2.44,     0.30

  473.86,  512,     2.33,      0.8,   -14.72,     0.64,    -1.32,     0.22

  480.45,  512,     2.93,    -1.70,     3.32,     0.93,    -1.64,     0.11

  487.13,  512,     0.74,    -5.44,   -13.23,     0.76,     2.35,     0.25

  493.75,  512,     2.82,    -1.51,     0.13,     0.74,     0.19,     0.33

  500.20,  512,     6.94,    -3.82,    -2.66,     0.99,    -2.23,     0.25

  506.88,  512,   -18.37,     5.12,   -17.71,     1.56,     2.27,      0.1

  513.56,  512,     7.62,    -3.35,     3.84,     0.57,     0.95,     0.26

   520.7,  512,     5.60,    -1.97,    -11.2,     0.52,    -2.46,     0.39

  526.73,  512,   -21.17,     18.3,   -18.86,     1.83,     1.17,     0.31

  533.46,  512,    10.64,    -5.45,      0.2,     0.33,     1.68,     0.12

  539.90,  512,     4.87,     0.62,   -23.41,     0.46,    -2.46,     0.15

  546.47,  512,    -7.34,     6.11,     -1.0,     0.28,     0.60,     0.32

   553.7,  512,     6.52,    -7.51,    -8.69,     0.24,     2.15,     0.49

  559.75,  512,     3.33,     0.69,   -13.78,     0.78,    -1.36,     0.19

  566.27,  512,     3.69,    -2.42,      2.8,     -1.7,    -1.75,      0.6

  572.94,  512,    -2.90,    -3.10,   -13.60,     1.28,     2.43,     0.35

  579.65,  512,     4.38,    -1.90,     1.29,     0.75,     0.22,     0.33

  586.10,  512,     6.87,    -4.18,    -4.52,     0.99,    -2.29,     0.44

  592.75,  512,    -20.1,     8.30,   -17.33,     1.76,     2.25,      0.9

  599.40,  512,     9.31,    -4.68,     2.84,     0.64,      1.6,     0.17

  605.96,  512,     4.92,    -1.15,   -14.37,     0.44,    -2.52,     0.39

  612.57,  512,   -19.33,    16.43,   -15.47,     1.63,     0.93,     0.37

  619.25,  512,    10.64,    -6.35,    -2.25,     0.22,     1.75,     0.25

  625.86,  512,     4.68,     0.80,   -26.48,     0.44,    -2.36,      0.9

  632.36,  512,    -4.24,     3.56,     0.79,     0.12,     0.85,      0.1

  638.80,  512,     4.63,    -5.60,    -9.90,     0.50,     2.30,     0.46

  645.50,  512,      3.3,     0.48,    -8.60,     0.76,     0.97,     0.32

  651.98,  512,     5.24,    -3.71,     0.97,    -1.25,     -2.6,     0.19

  658.61,  512,   -12.99,     0.98,   -14.26,     1.33,     2.44,     0.17

  665.38,  512,     5.69,    -2.60,     2.25,     0.85,     0.29,     0.41

  671.90,  512,     6.59,    -4.31,    -6.44,     0.86,    -2.34,     0.44

  678.58,  512,   -21.25,    11.46,   -21.48,     1.92,     2.12,     0.21

  685.29,  512,    10.65,    -5.64,     1.61,     0.65,      1.8,     0.15

  691.79,  512,     4.63,     1.74,   -18.14,     0.43,    -2.59,     0.29

  698.40,  512,   -16.24,     14.3,   -10.44,     1.50,     0.68,     0.46

   705.8,  512,     9.98,    -6.54,    -3.96,     0.10,     1.88,     0.28

  711.60,  512,     4.93,     0.28,   -27.64,     0.48,    -2.24,      0.5

  718.12,  512,    -2.16,     1.57,     1.97,     0.59,    -1.19,     0.22

  724.78,  512,     2.99,    -5.82,   -10.80,     0.66,     2.31,     0.41

  731.40,  512,     2.57,     0.31,    -4.67,     0.75,     0.77,     0.36

  737.83,  512,     6.26,    -4.24,     0.34,    -1.25,    -2.10,     0.53

  744.59,  512,   -15.50,     1.69,    -15.6,     1.82,     2.32,     0.10

  751.28,  512,      7.0,    -3.46,     2.97,     0.86,     0.77,     0.41

  757.72,  512,     6.37,    -3.48,    -9.32,     0.64,    -2.42,     0.42

  764.38,  512,   -21.89,    14.27,    -20.5,      2.1,     1.88,     0.31

   771.8,  512,    11.40,    -5.96,     0.47,     0.63,     1.21,      0.0

  777.53,  512,     4.84,     2.14,   -23.10,     0.25,    -2.48,     0.21

  784.20,  512,   -13.52,    10.20,    -6.74,     0.84,      0.8,     0.40

  790.73,  512,     9.48,    -6.25,    -5.20,      0.9,     1.93,     0.38

  797.33,  512,     3.34,     0.18,   -21.34,     0.47,    -1.85,     0.12

  803.93,  512,     0.35,     0.30,     3.24,    -1.11,    -1.40,     0.12

  810.52,  512,     1.45,    -4.17,   -11.82,     0.84,     2.37,     0.36

  817.22,  512,     2.29,     0.33,    -1.64,     0.65,      0.7,     0.39

  823.62,  512,     7.12,    -4.44,     -1.9,    -1.14,    -2.15,     0.26

  830.32,  512,   -17.10,     4.84,    -19.9,     1.69,     2.28,     0.25

   837.2,  512,     7.87,    -3.99,     2.78,     0.73,     0.64,     0.33

  843.54,  512,     6.46,     0.49,   -11.40,     0.67,    -2.36,     0.33

  850.15,  512,   -21.42,    15.61,    -18.2,     1.99,     1.54,     0.35

  856.89,  512,     11.6,    -5.30,     0.49,     0.39,     1.38,     0.26

  863.33,  512,     4.76,      1.7,   -22.52,     0.42,    -2.39,     0.13

   870.2,  512,   -11.27,     9.59,    -3.89,     0.70,      0.7,     0.44

  876.55,  512,     8.64,    -7.92,    -7.96,     0.11,      2.3,     0.37

  883.14,  512,     2.34,     2.45,   -16.44,     0.31,    -1.48,     0.23

  889.81,  512,     1.27,    -1.23,     3.12,     0.93,    -1.45,     0.14

  896.41,  512,     1.12,    -3.48,   -11.76,     0.73,     2.24,     0.35

   903.4,  512,     2.75,     0.14,    -1.51,     0.54,      0.8,     0.38

  909.45,  512,     6.74,    -4.41,    -1.59,    -1.10,    -2.12,     0.33

  916.23,  512,   -16.57,     6.19,   -17.26,     1.77,     2.29,      0.1

  922.90,  512,     8.54,     -4.2,     2.42,     0.86,     0.62,      0.0

  929.34,  512,     5.89,    -1.22,   -11.87,     0.43,    -2.36,     0.36

   936.2,  512,   -22.28,    13.94,   -19.73,     1.54,     1.41,     0.23

  942.78,  512,     11.0,    -4.45,     0.84,     0.22,     1.43,     0.12

  949.23,  512,     4.18,     0.68,    -23.4,     0.43,    -2.50,     0.17

  955.74,  512,   -10.74,     8.51,    -3.44,     0.41,      0.9,     0.30

  962.28,  512,     8.17,    -6.40,    -8.23,     0.27,     2.11,     0.43

   969.4,  512,     3.57,     0.19,   -18.70,     0.49,    -1.66,     0.18

  975.55,  512,     2.37,     -2.9,     2.73,     -1.0,    -1.55,      0.1

  982.17,  512,    -7.89,    -2.95,   -12.41,     0.87,     2.37,     0.31

  988.84,  512,     3.91,    -1.53,     0.41,     0.67,     0.14,     0.32

  995.27,  512,     6.70,    -2.81,    -3.29,     -1.7,    -2.23,     0.40

  1002.3,  512,   -17.50,     6.18,   -16.48,     1.87,     1.93,     0.13

 1008.72,  512,     9.67,    -4.78,     2.12,     0.84,     0.85,     0.25

 1015.22,  512,     3.49,     0.39,    -13.3,     0.39,    -2.34,     0.37

 1021.76,  512,   -19.99,    15.76,   -17.45,     1.54,     1.24,     0.41

 1028.55,  512,    10.77,    -5.91,     0.40,     0.22,     1.56,     0.21

  1035.5,  512,      5.5,     0.62,   -28.63,     0.48,    -2.38,      0.7

 1041.56,  512,    -8.12,     7.20,    -2.86,      0.0,     0.59,     0.36

  1048.6,  512,     0.10,    -6.83,    -9.68,     0.43,     2.27,     0.49

 1054.76,  512,     2.71,     3.77,   -11.13,     0.27,     0.87,     0.40

 1061.36,  512,     4.13,    -3.98,     2.15,    -1.25,    -1.84,      0.6

  1068.6,  512,    -9.69,     0.97,   -12.23,     1.10,     2.31,     0.29

 1074.66,  512,     3.77,    -1.39,     1.94,     0.88,     0.15,     0.42

 1081.16,  512,     6.80,     -3.2,    -4.50,     -1.1,    -2.27,     0.40

 1087.84,  512,   -19.37,    10.26,   -17.26,      2.9,      2.9,     0.20

 1094.54,  512,    10.61,    -5.50,     1.51,     0.80,     0.90,     0.21

  1101.5,  512,     3.80,     1.33,   -15.27,     0.39,    -2.41,     0.30

 1107.67,  512,    -19.8,    14.69,   -14.12,     1.31,     1.16,     0.40

 1114.41,  512,    11.61,    -5.99,    -2.46,     0.22,     1.52,     0.16

 1120.94,  512,     3.30,      1.2,   -26.69,     0.37,    -2.15,      0.0

 1127.46,  512,    -6.39,      5.0,      0.5,     0.17,     0.73,     0.29

 1133.88,  512,     0.66,    -5.23,   -12.92,     0.73,     2.13,     0.39

 1140.59,  512,     2.28,     0.96,   -12.94,     0.46,    -1.19,     0.31

 1147.18,  512,     3.64,    -2.93,     2.20,    -1.20,    -1.73,     0.12

 1153.87,  512,    -9.58,    -1.76,   -15.58,     1.18,     2.40,      0.1

 1160.56,  512,     3.96,     0.78,     1.28,     0.65,     0.23,     0.40

 1166.99,  512,     5.59,    -3.90,    -3.90,     0.97,    -2.19,     0.43

 1173.64,  512,   -19.30,     8.75,   -19.71,     1.88,     2.16,     0.12

 1180.35,  512,     9.60,    -4.64,     2.63,     0.64,     0.86,     0.16

 1186.80,  512,     3.84,     0.26,   -21.82,     0.51,    -2.44,     0.39

