----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ
  513.17,    0,    -1.23,      0.6,    -9.75,      0.1,      0.0,     0.17

  519.77,    0,    -1.29,     0.10,    -9.82,      0.1,      0.1,     0.18

  526.39,    0,    -1.43,     0.18,    -9.91,      0.1,      0.1,     0.21

  532.98,    0,    -1.51,     0.29,    -10.0,      0.2,      0.2,     0.23

  539.59,    0,    -1.51,     0.19,   -10.13,      0.3,      0.4,     0.25

  546.19,    0,    -1.45,     0.19,   -10.20,      0.3,      0.7,     0.27

  552.86,    0,    -1.43,     0.21,   -10.16,      0.3,      0.8,     0.29

  559.47,    0,    -1.45,     0.25,    -10.8,      0.4,     0.11,     0.31

   566.7,    0,    -1.43,     0.25,    -9.98,      0.5,     0.12,     0.33

  572.68,    0,    -1.26,     0.15,    -9.91,      0.5,     0.14,     0.34

  579.27,    0,     -1.2,      0.1,    -9.95,      0.4,     0.14,     0.35

  585.80,    0,     0.80,      0.5,    -9.88,      0.3,     0.14,     0.35

  592.35,    0,     0.54,     0.13,    -9.87,      0.2,     0.13,     0.33

  598.92,    0,     0.41,     0.22,    -9.71,      0.2,     0.12,     0.31

  605.51,    0,     0.33,     0.33,    -9.65,      0.4,      0.9,     0.29

  612.11,    0,     0.18,     0.39,    -9.54,      0.7,      0.6,     0.29

  618.71,    0,     0.23,     0.55,    -9.51,      0.9,      0.4,     0.25

  625.30,    0,     0.24,     0.58,    -9.50,      0.9,      0.0,     0.22

  631.90,    0,     0.26,     0.55,    -9.57,     0.10,      0.3,     0.21

  638.51,    0,     0.55,     0.53,    -9.68,      0.7,      0.4,     0.18

   645.4,    0,     0.65,     0.43,    -9.84,      0.7,      0.5,     0.20

  651.63,    0,     0.80,     0.37,    -10.0,      0.7,      0.6,     0.23

  658.23,    0,     0.94,     0.28,    -10.5,      0.4,      0.4,     0.25

  664.89,    0,     0.93,     0.21,    -10.5,      0.2,      0.2,     0.28

  671.52,    0,     0.89,     0.19,    -9.98,      0.0,      0.4,     0.29

  678.11,    0,     0.76,     0.20,    -9.95,      0.0,      0.4,     0.29

  684.64,    0,     0.65,     0.20,    -9.89,      0.0,      0.3,     0.30

  691.30,    0,     0.63,     0.32,    -9.83,      0.0,      0.3,     0.31

  697.86,    0,     0.62,     0.46,    -9.81,      0.0,      0.2,     0.32

  704.51,    0,     0.50,     0.48,    -9.81,      0.1,      0.2,     0.32

  711.11,    0,     0.58,     0.52,    -9.83,      0.1,      0.1,     0.33

  717.71,    0,     0.64,     0.53,    -9.78,      0.2,      0.0,     0.34

  724.33,    0,     0.77,     0.47,    -9.78,      0.4,      0.0,     0.35

  730.85,    0,     0.87,     0.39,    -9.86,      0.5,      0.3,     0.37

  737.45,    0,     0.99,     0.31,    -9.91,      0.5,      0.3,     0.38

   744.3,    0,     -1.9,     0.34,    -9.98,      0.3,      0.5,     0.39

  750.69,    0,    -1.12,     0.23,    -10.9,      0.1,      0.7,     0.41

  757.33,    0,    -1.24,     0.12,   -10.13,      0.1,      0.9,     0.45

  763.95,    0,    -1.40,     0.11,    -10.4,      0.2,     0.11,     0.48

  770.60,    0,    -1.39,     0.10,    -9.93,      0.2,     0.14,     0.53

  777.24,    0,    -1.27,     0.20,    -9.84,      0.2,     0.13,     0.56

  783.83,    0,    -1.26,     0.34,    -9.78,      0.0,     0.11,     0.57

  790.49,    0,    -1.27,     0.39,    -9.74,      0.1,     0.13,     0.59

  797.10,    0,    -1.20,     0.34,    -9.71,      0.1,     0.12,     0.60

  803.71,    0,    -1.18,     0.38,    -9.69,      0.1,     0.12,     0.59

  810.31,    0,    -1.16,     0.45,    -9.65,      0.1,     0.11,     0.60

  816.91,    0,    -1.17,     0.38,    -9.65,      0.2,     0.12,     0.61

  823.51,    0,    -1.16,     0.28,    -9.63,      0.3,     0.11,     0.60

  830.13,    0,    -1.17,     0.24,    -9.54,      0.4,     0.10,     0.59

  836.72,    0,    -1.22,     0.22,    -9.45,      0.4,     0.10,     0.59

  843.32,    0,    -1.17,     0.20,    -9.37,      0.3,     0.10,     0.59

  849.92,    0,    -1.15,     0.18,    -9.31,      0.1,     0.10,     0.59

  856.52,    0,    -1.13,     0.11,    -9.32,      0.0,      0.9,     0.58

   863.5,    0,    -1.11,     0.10,    -9.19,      0.2,      0.8,     0.57

  869.65,    0,     -1.6,     0.15,    -9.18,      0.5,      0.9,     0.58

  876.24,    0,     -1.5,     0.20,    -9.18,      0.7,      0.7,     0.59

  882.85,    0,     0.95,     0.24,    -9.20,      0.8,     0.10,     0.62

  889.42,    0,     0.94,     0.24,    -9.16,      0.9,     0.10,     0.65

   896.1,    0,     0.90,     0.24,    -9.24,      0.9,     0.11,     0.67

  902.55,    0,     0.71,     0.28,    -9.34,     0.10,     0.10,     0.69

  909.16,    0,     0.57,     0.39,    -9.58,      0.8,     0.10,     0.70

  915.76,    0,     0.49,     0.37,    -9.72,      0.5,     0.10,     0.72

  922.36,    0,     0.43,     0.37,    -9.79,      0.3,     0.11,     0.73

  928.96,    0,     0.38,     0.31,    -9.81,      0.4,     0.13,     0.74

  935.57,    0,     0.39,     0.30,    -9.68,      0.6,     0.14,     0.76

  942.17,    0,     0.33,     0.30,    -9.55,      0.8,     0.15,     0.78

  948.77,    0,     0.21,     0.80,    -9.49,      0.8,     0.13,     0.79

  955.37,    0,      0.5,     0.48,    -9.55,      0.6,     0.12,     0.80

  961.96,    0,      0.0,     0.48,    -9.56,      0.5,      0.9,     0.81

  968.48,    0,     0.10,     0.41,    -9.54,      0.4,      0.5,     0.80

   975.9,    0,     0.11,     0.41,    -9.58,      0.2,      0.1,     0.79

  981.68,    0,     0.21,     0.47,    -9.65,      0.0,      0.2,     0.79

  988.28,    0,     0.32,     0.63,    -9.80,      0.2,      0.3,     0.79

  994.88,    0,     0.47,     0.67,    -10.5,      0.4,      0.6,     0.80

 1001.48,    0,     0.48,     0.64,   -10.22,      0.5,      0.4,     0.78

 1008.13,    0,     0.44,     0.56,   -10.34,      0.2,      0.0,     0.77

 1014.75,    0,     0.47,     0.53,   -10.27,      0.1,      0.6,     0.76

 1021.36,    0,     0.54,     0.48,   -10.13,      0.6,      0.9,     0.75

 1027.97,    0,     0.52,     0.44,    -9.95,      0.8,     0.11,     0.75

 1034.57,    0,     0.58,     0.41,    -9.78,      0.9,     0.11,     0.75

 1041.18,    0,     0.52,     0.31,    -9.78,      0.9,     0.10,     0.75

 1047.80,    0,     0.54,     0.22,    -9.87,      0.9,      0.7,     0.75

 1054.40,    0,     0.52,     0.16,    -9.96,      0.8,      0.5,     0.75

 1060.99,    0,     0.50,     0.11,    -10.7,      0.6,      0.3,     0.76

 1067.59,    0,     0.46,     0.11,    -10.8,      0.4,      0.0,     0.76

 1074.20,    0,     0.52,     0.19,   -10.10,      0.1,      0.0,     0.77

 1080.80,    0,     0.63,     0.32,    -10.9,      0.1,      0.4,     0.76

 1087.39,    0,     0.77,     0.48,    -10.4,      0.5,      0.7,     0.76

 1093.97,    0,     0.82,     0.67,    -10.9,      0.9,     0.10,     0.75

 1100.56,    0,     0.91,     0.72,   -10.13,     0.13,     0.12,     0.73

 1107.21,    0,     0.87,     0.66,   -10.17,     0.13,     0.12,     0.71

 1113.88,    0,     0.95,     0.54,   -10.17,     0.11,     0.10,     0.71

 1120.48,    0,     0.92,     0.47,   -10.13,      0.8,      0.8,     0.70

  1127.6,    0,     0.94,     0.44,   -10.15,      0.6,      0.4,     0.69

 1133.69,    0,     0.93,     0.32,   -10.14,      0.4,      0.1,     0.69

 1140.29,    0,     0.86,     0.29,    -10.5,      0.2,      0.0,     0.68

 1146.88,    0,     0.88,     0.27,    -9.93,      0.2,      0.0,     0.66

 1153.42,    0,     0.88,     0.30,    -9.83,      0.2,      0.0,     0.66

  1160.2,    0,     0.84,     0.44,    -9.83,      0.2,      0.2,     0.65

 1166.59,    0,     0.80,     0.47,    -9.81,      0.4,      0.3,     0.64

 1173.20,    0,     0.73,     0.46,    -9.88,      0.6,      0.4,     0.62

 1179.80,    0,     0.60,     0.45,    -9.86,      0.4,      0.4,     0.61

 1186.40,    0,     0.56,     0.52,    -9.87,      0.3,      0.4,     0.61

  1193.1,    0,     0.48,     0.55,    -9.85,      0.2,      0.3,     0.60

 1199.61,    0,     0.45,     0.48,    -9.82,      0.2,      0.1,     0.62

 1206.21,    0,     0.52,     0.51,    -9.77,      0.1,      0.2,     0.61

 1212.82,    0,     0.49,     0.58,    -9.78,      0.2,      0.3,     0.60

 1219.42,    0,     0.44,     0.61,    -9.72,      0.5,      0.3,     0.61

  1226.2,    0,     0.37,     0.54,    -9.68,      0.4,      0.3,     0.61

 1232.62,    0,     0.26,     0.49,    -9.62,      0.3,      0.2,     0.62

 1239.23,    0,     0.20,     0.53,    -9.56,      0.1,      0.3,     0.64

 1245.83,    0,     0.12,     0.61,    -9.64,      0.0,      0.3,     0.65

 1252.43,    0,      0.6,     0.67,    -9.73,      0.2,      0.3,     0.65

  1259.3,    0,      0.0,     0.61,    -9.77,      0.3,      0.2,     0.65

 1265.61,    0,      0.7,     0.57,    -9.84,      0.4,      0.2,     0.65

 1272.22,    0,      0.6,     0.50,    -9.82,      0.6,      0.1,     0.66

 1278.81,    0,     0.11,     0.50,    -9.82,      0.7,      0.3,     0.67

 1285.42,    0,      0.5,     0.44,    -9.92,      0.8,      0.4,     0.67

 1291.95,    0,      0.6,     0.35,    -9.95,     0.10,      0.4,     0.66

 1298.61,    0,      0.9,     0.36,    -9.91,     0.11,      0.4,     0.66

 1305.21,    0,     0.13,     0.41,    -9.88,     0.11,      0.4,     0.65

 1311.82,    0,      0.0,     0.39,    -9.86,     0.10,      0.4,     0.65

 1318.43,    0,     0.20,     0.20,    -9.80,      0.8,      0.1,     0.66

  1325.4,    0,     0.39,     0.10,    -9.61,      0.2,      0.0,     0.69

 1331.64,    0,     0.57,     0.13,    -9.55,      0.1,      0.0,     0.70

 1338.23,    0,     0.55,     0.28,    -9.61,      0.0,      0.1,     0.71

 1344.84,    0,     0.43,     0.35,    -9.70,      0.2,      0.2,     0.73

 1351.41,    0,     0.37,     0.31,    -9.77,      0.3,      0.0,     0.75

  1358.2,    0,     0.43,     0.19,    -9.86,      0.4,      0.0,     0.76

 1364.61,    0,     0.45,     0.21,    -9.88,      0.4,      0.0,     0.76

 1371.16,    0,     0.47,     0.25,    -9.80,      0.5,      0.0,     0.76

 1377.85,    0,     0.49,     0.23,    -9.76,      0.5,      0.0,     0.78

 1384.45,    0,     0.46,     0.29,    -9.81,      0.6,      0.1,     0.80

  1391.5,    0,     0.42,     0.31,    -9.80,      0.9,      0.3,     0.81

 1397.65,    0,     0.42,     0.31,    -9.83,     0.10,      0.5,     0.82

 1404.25,    0,     0.32,     0.39,    -9.78,     0.12,      0.7,     0.83

 1410.85,    0,     0.29,     0.38,    -9.65,     0.12,      0.9,     0.83

 1417.49,    0,     0.24,     0.50,    -9.56,     0.13,     0.11,     0.84

 1424.13,    0,     0.24,     0.33,    -9.51,     0.14,     0.11,     0.83

 1430.74,    0,     0.21,     0.28,    -9.55,     0.12,     0.14,     0.82

 1437.34,    0,     0.26,     0.27,    -9.55,      0.9,     0.13,     0.81

 1443.93,    0,     0.22,     0.32,    -9.62,      0.7,     0.12,     0.81

 1450.55,    0,     0.19,     0.27,    -9.68,      0.5,     0.12,     0.81

 1457.15,    0,     0.25,     0.17,    -9.67,      0.1,     0.11,     0.81

 1463.75,    0,     0.32,     0.10,    -9.72,      0.2,      0.9,     0.81

