----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ

     6.8,  512,     0.26,     0.20,    -9.63,      0.6,      0.2,      0.2

   11.90,  512,     0.27,     0.28,    -9.72,      0.3,      0.0,      0.2

   18.20,  512,     0.27,     0.16,    -9.88,      0.6,      0.5,      0.0

   24.70,  512,     0.30,     0.16,    -9.87,     0.13,      0.8,      0.5

   31.24,  512,     0.56,    -1.10,    -9.68,      0.1,     0.11,     0.11

   37.86,  512,     0.36,    -2.11,    -9.44,     0.45,      0.7,      0.2

   44.46,  512,     0.34,     0.50,   -10.41,     0.35,      0.2,      0.8

    51.4,  512,     1.69,     2.85,    -9.87,     0.50,      0.7,     0.18

   57.80,  512,     0.45,    -1.74,    -8.90,     0.28,     0.16,     0.26

   64.43,  512,      0.9,    -1.68,    -12.8,     0.54,      0.9,     0.30

    71.3,  512,      4.5,     2.88,    -8.75,     0.24,     0.28,     0.21

   77.66,  512,    -3.24,    -2.74,    -8.42,      0.5,      0.4,      0.5

   84.24,  512,     4.29,     1.90,   -11.72,      0.6,     0.23,     0.17

   90.92,  512,    -3.58,     0.63,     -6.1,      0.5,      0.9,     0.15

   97.35,  512,     3.18,     0.56,   -14.34,     0.41,      0.8,      0.7

  103.95,  512,    -1.96,     -1.0,    -4.53,     0.27,     0.45,     0.50

  110.64,  512,     1.34,     0.42,   -14.63,     0.53,     0.32,     0.22

  117.31,  512,    -1.16,     1.79,     -6.3,     0.26,     0.49,     0.84

  123.90,  512,     2.68,    -2.78,   -11.55,     0.26,     0.46,     0.50

  130.58,  512,     0.44,     5.42,    -9.72,     0.17,     0.53,     0.76

  137.11,  512,     0.90,   -10.58,    -9.28,     0.48,     0.51,     0.30

  143.73,  512,     3.61,     7.92,    -11.1,     0.68,     0.54,     0.47

  150.33,  512,    -5.47,    -9.87,    -9.41,     0.78,     0.56,      0.4

  156.94,  512,     7.16,     4.34,    -8.16,     0.43,     0.41,      0.3

  163.53,  512,    -5.81,     -2.7,   -13.34,      0.9,     0.39,     0.55

  170.13,  512,     6.64,    -3.59,    -4.53,     0.69,     0.40,     0.25

  176.74,  512,     3.78,     5.13,   -15.61,      1.2,     0.21,     0.32

  183.42,  512,     4.79,    -1.70,    -5.94,     0.50,     0.62,    -1.34

  190.10,  512,     4.66,    -6.23,    -9.40,     0.40,     0.18,     0.74

  196.60,  512,     7.69,     7.17,   -11.16,     0.62,     0.89,     0.79

  203.21,  512,    -1.23,    -9.10,    -8.13,     0.67,     0.10,     0.23

  209.83,  512,    10.97,     5.52,    -7.99,     0.59,     0.84,      0.9

  216.42,  512,    -3.91,      1.6,   -14.53,     0.23,      0.3,     0.72

  222.95,  512,     4.21,    -3.35,     -4.8,     0.72,     0.51,     0.75

  229.55,  512,      0.3,     3.88,   -14.92,      1.2,     0.33,     0.37

  236.16,  512,     0.43,     2.82,    -10.8,     0.21,     0.45,    -1.30

  242.75,  512,    -2.49,   -11.68,    -8.74,     0.43,     0.44,     0.33

  249.36,  512,     5.90,     7.83,   -13.21,     0.69,     0.70,     0.16

   256.2,  512,    -6.95,    -6.36,   -12.89,     0.56,     0.11,     0.55

  262.65,  512,     4.66,    -1.13,    -3.95,     0.28,     -1.7,      0.8

  269.23,  512,    -1.43,     3.22,   -17.11,     0.81,     0.42,     0.18

  275.85,  512,     0.71,     1.76,    -5.88,     0.84,    -1.26,     0.98

  282.44,  512,      2.2,    -4.65,   -11.37,      0.3,     0.25,     0.53

  288.97,  512,     3.19,    11.95,   -10.49,     0.51,    -1.28,     0.76

  295.73,  512,    -3.31,    -9.51,    -9.38,    -1.27,      0.1,     0.68

  302.32,  512,     5.49,     5.92,    -5.48,     0.36,     0.63,     0.54

  308.84,  512,    -1.47,     0.53,   -15.57,     0.19,     0.43,     0.37

  315.38,  512,     0.92,    -3.38,     0.34,     -1.0,     0.11,     0.16

  321.89,  512,     3.85,    -4.80,   -11.93,     0.28,     0.93,     0.84

  328.58,  512,    -3.16,     6.68,    -9.67,      0.6,     0.21,      0.1

  335.17,  512,     0.29,   -13.49,    -7.67,    -1.87,     0.95,      0.7

  341.86,  512,     2.50,     7.82,    -7.81,     0.68,      0.1,     1.20

  348.46,  512,     2.55,    -4.24,   -14.90,     0.81,     0.10,     0.66

   355.5,  512,     0.34,    -1.45,    -1.97,     0.32,     0.46,     0.54

  361.55,  512,     8.29,     2.65,   -13.95,     0.32,     0.46,     0.26

  368.17,  512,    -4.41,     5.56,    -6.88,     0.14,     0.81,     0.45

  374.79,  512,      5.5,    -9.67,     -8.5,     -1.0,     0.41,     0.16

  381.37,  512,     0.11,    13.34,   -11.25,     1.28,     0.78,     0.52

   388.6,  512,     0.66,    -5.94,   -10.88,    -1.41,     0.38,    -1.28

  394.74,  512,    -2.11,     0.76,    -4.15,     0.23,     0.29,     0.72

  401.18,  512,     2.19,     2.49,   -15.72,     0.13,     0.17,     0.46

  407.83,  512,     -8.6,    -1.29,    -4.70,     0.43,     0.13,     0.36

  414.39,  512,     5.83,    -4.16,     -8.4,     0.36,     0.39,     0.21

  420.97,  512,    -4.27,    10.19,   -11.27,     0.67,     0.29,     0.17

  427.65,  512,     0.66,    -9.51,     -8.8,    -1.79,     0.79,     0.88

  434.25,  512,     0.80,     7.30,    -7.17,     0.53,     0.32,      1.3

  440.80,  512,     2.45,      2.0,    -15.1,     0.57,     0.11,     -1.9

  447.46,  512,    -7.36,    -4.31,    -4.84,     0.44,     0.29,     0.10

   454.7,  512,     7.83,     1.11,   -13.78,     0.15,      0.8,     0.14

  460.66,  512,    -7.53,     5.25,   -12.14,     0.59,     0.12,     0.47

  467.27,  512,      3.3,   -10.51,    -5.63,    -1.24,     0.15,     0.85

  473.94,  512,    -2.28,     5.32,   -13.14,     1.12,     0.17,     0.80

  480.56,  512,     1.43,     2.98,    -11.1,     0.50,     0.48,    -1.26

  487.15,  512,    -3.88,    -7.50,    -8.37,     0.53,     0.26,     0.58

  493.67,  512,     6.31,     8.70,   -11.41,     0.58,     0.53,     0.21

  500.27,  512,    -6.63,    -8.28,    -13.7,     0.83,     0.65,     0.31

  506.88,  512,     5.47,     0.34,    -3.54,     0.39,     0.22,     0.50

  513.39,  512,     0.62,     1.11,   -16.67,     0.30,     0.63,     0.33

  519.99,  512,    -2.39,     0.54,    -2.69,     0.82,      0.8,     0.43

  526.51,  512,     4.52,    -9.16,    -9.99,     0.57,     0.74,     0.81

  533.19,  512,    -2.24,    12.51,   -10.87,     1.15,     0.27,     0.46

  539.96,  512,     1.11,   -10.64,    -8.25,    -1.69,     0.27,     -1.4

  546.60,  512,     -2.3,     0.61,    -7.84,     0.99,     0.34,     1.31

   553.9,  512,     2.89,     2.31,    -13.3,      0.7,     0.24,     0.81

  559.61,  512,    -7.86,    -8.76,    -6.91,     0.55,     0.65,     0.41

  566.21,  512,     7.91,      5.5,    -8.40,     0.58,     0.41,     0.44

  572.82,  512,    -8.26,     -2.2,   -14.63,      0.6,     0.62,      0.9

  579.41,  512,     1.10,    -2.27,    -2.54,     0.64,     0.30,     0.13

   586.2,  512,     1.38,     0.54,    -15.2,     0.30,     0.45,     0.86

  592.60,  512,    -4.35,     8.27,    -7.92,     0.19,     0.41,     0.23

  599.22,  512,     3.53,   -11.63,    -8.48,    -1.36,     0.20,      0.5

  605.90,  512,    -1.61,    12.21,   -10.63,     1.37,     0.25,      1.5

  612.60,  512,     1.54,    -1.57,   -10.93,     0.77,     0.40,    -1.27

  619.21,  512,    -4.21,    -7.54,    -7.71,      0.1,      0.1,     0.94

  625.69,  512,     6.27,     8.76,    -13.9,     0.68,     0.67,     0.34

  632.28,  512,     -8.4,    -7.74,   -10.78,     0.83,     0.54,     0.30

  638.89,  512,      8.5,      4.1,    -2.69,     0.14,     0.40,     0.42

  645.43,  512,    -1.51,     1.42,   -17.43,     0.24,     0.53,      0.9

   652.2,  512,    -4.83,    -1.57,    -3.38,     0.50,     0.17,     0.43

  658.62,  512,     5.88,    -5.50,   -13.13,     0.33,     0.47,     0.42

  665.24,  512,    -4.13,    12.11,   -11.19,     0.80,     0.11,     0.16

  671.92,  512,     2.13,   -11.61,    -7.67,    -1.45,     0.15,     -1.3

  678.62,  512,    -1.46,      3.9,   -10.49,     0.78,     0.40,     1.29

  685.21,  512,      4.3,      8.4,   -11.73,     0.11,     0.45,     -1.6

  691.71,  512,    -4.51,    -9.38,    -7.33,     0.77,     0.58,     0.32

  698.30,  512,     7.18,    10.29,    -8.94,      1.5,     0.68,     0.26

  704.92,  512,    -3.27,    -6.30,   -15.26,     0.49,     0.41,     0.67

  711.53,  512,      2.9,     0.83,    -1.83,      0.3,     0.41,     0.36

  717.94,  512,     5.98,      2.7,   -16.28,     0.43,     0.22,      0.4

  724.54,  512,    -6.33,      4.9,     -5.5,     0.13,     0.17,     0.46

  731.17,  512,     6.41,    -9.54,    -8.20,     0.75,     0.16,      0.5

  737.83,  512,     -4.0,    11.51,   -13.13,     1.45,     0.11,     0.76

  744.54,  512,     1.58,    -4.83,     -8.3,     0.86,     0.20,    -1.31

  751.14,  512,    -1.73,    -6.25,    -8.60,     0.22,     0.46,     1.32

  757.74,  512,      5.1,     7.66,   -11.64,     0.71,     0.60,     0.75

  764.31,  512,    -6.93,     -9.6,    -9.16,     0.70,     0.50,     0.16

  770.87,  512,     7.28,     5.61,    -5.98,     0.43,     0.57,     0.41

  777.52,  512,    -4.93,     1.80,   -16.17,     0.50,     0.28,     0.20

  784.13,  512,      0.0,    -1.99,    -3.68,     0.68,     0.50,     0.59

  790.64,  512,     1.43,     0.10,   -13.15,     0.62,     0.33,     0.81

  797.25,  512,      0.4,      9.7,   -10.23,     0.47,     0.59,     0.56

  803.83,  512,    -1.91,   -10.21,    -8.41,     0.86,     0.41,      0.5

  810.44,  512,      6.1,    10.13,    -9.88,     1.18,     0.64,     0.77

  817.13,  512,    -3.87,    -3.22,   -14.25,     0.27,     0.25,     0.51

  823.75,  512,     0.10,    -1.25,    -2.41,     0.28,     0.43,     0.36

  830.25,  512,     1.58,      2.2,    -16.6,     0.78,     0.26,     0.74

  836.86,  512,    -2.14,     4.99,    -7.69,     0.35,     0.40,     0.61

  843.46,  512,     0.34,    -7.58,     -9.9,     0.47,     0.58,     0.67

   850.3,  512,      5.1,    11.55,   -11.30,     0.75,     0.46,      0.7

  856.65,  512,    -5.88,    -8.29,   -11.70,     0.74,     0.62,     0.41

  863.34,  512,     7.52,     2.20,    -5.41,      0.5,     0.33,     0.46

  869.87,  512,     0.91,     3.13,   -16.55,     0.73,     0.43,      0.1

