----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ
  513.45,  768,   -13.27,   -21.37,    -7.26,     -2.7,     0.62,     2.18

  520.13,  768,    -1.22,    -5.66,     7.56,     0.46,      0.3,     1.89

  526.70,  768,     10.7,    -8.80,     5.15,     0.95,     0.17,     2.12

  533.31,  768,     3.37,    -6.70,    -9.72,     0.33,     0.42,     3.33

  539.92,  768,      3.0,    -3.13,   -23.50,     0.29,     0.35,     2.89

  546.52,  768,     7.84,    19.74,     -6.9,     2.48,    -1.20,     0.94

  553.14,  768,    -1.94,     8.81,   -19.53,     0.15,     0.19,     1.30

  559.72,  768,   -15.95,     3.59,   -32.76,     0.54,     0.71,     1.86

  566.34,  768,    -2.96,     3.54,   -14.13,     0.41,      0.4,     0.80

  572.84,  768,     1.52,   -10.38,     0.57,    -1.93,     0.43,     1.62

  579.52,  768,    -4.12,    -14.2,     1.82,    -2.20,     0.58,     3.40

  586.15,  768,     3.20,      0.0,     1.98,     0.25,     0.29,     3.31

  592.59,  768,    14.62,     2.60,      0.2,      1.0,     0.60,     2.48

  599.23,  768,     0.50,     2.61,   -15.24,     0.85,     0.63,     3.30

  605.85,  768,    -3.44,     8.59,   -26.39,     1.43,     0.21,     2.62

  612.61,  768,     2.54,    25.41,   -15.34,     1.91,     0.70,     0.57

  619.22,  768,     -3.2,    -1.65,    -9.60,     0.52,     0.46,     1.32

  625.73,  768,   -14.83,    -9.29,    -6.58,    -1.86,     0.61,     2.49

  632.41,  768,   -14.19,    -3.67,    -8.27,     0.40,      0.2,      2.1

  638.94,  768,     8.66,    -11.4,     5.13,     0.93,     0.29,     2.26

  645.53,  768,      4.4,    -16.6,    -2.61,    -1.14,     0.21,     3.82

  652.16,  768,    -3.36,    -4.84,   -22.12,     0.60,     0.16,     3.72

  658.76,  768,    11.28,    19.53,    -7.99,     2.34,     0.73,     1.65

  665.43,  768,     7.48,     9.88,   -16.59,     0.68,     0.46,      2.7

  671.95,  768,   -17.81,     6.52,    -29.7,     0.65,     0.68,     2.32

  678.55,  768,    -6.82,    16.96,   -15.23,     1.35,     0.10,     1.12

  685.24,  768,     1.77,    -14.4,     0.80,    -1.56,     0.37,     1.70

  691.81,  768,    -2.75,   -18.49,    -1.83,    -2.68,     0.39,     3.88

  698.43,  768,    -4.68,    -11.8,     0.37,     0.25,     0.54,     3.89

  704.87,  768,    14.73,     4.71,    -2.68,     0.83,     0.53,      3.0

  711.47,  768,     7.95,     -2.1,   -11.64,     0.78,     0.53,     3.84

  718.16,  768,    -4.27,     4.76,    -22.3,     0.99,     0.72,     3.32

  724.76,  768,     0.29,    26.67,   -15.75,      2.4,     0.93,     1.36

  731.44,  768,     0.28,     9.96,   -18.24,     0.85,      0.5,     1.64

  737.93,  768,   -15.77,   -22.77,   -12.94,     -2.7,     0.54,     3.26

  744.64,  768,    -5.47,    -3.25,      5.9,     0.22,     0.25,     2.87

  751.16,  768,    11.21,   -10.32,     6.88,     0.99,     0.13,     3.45

  757.77,  768,     4.18,   -10.21,    -7.74,     0.87,      0.7,     4.50

  764.35,  768,    -2.84,    -8.83,    -20.2,     0.90,      0.4,     3.96

  770.88,  768,     7.66,    21.10,   -16.71,     2.12,     0.56,     1.66

  777.64,  768,     0.40,     12.4,   -23.56,     0.53,      0.4,     2.41

  784.15,  768,   -17.63,    -1.34,   -34.57,     0.28,     0.33,     2.72

  790.77,  768,     -3.4,     5.57,     2.59,     0.34,     0.22,     1.58

  797.34,  768,     0.63,   -11.32,     1.37,    -2.32,     0.25,     2.94

   804.3,  768,    -2.69,   -19.18,     -7.5,    -2.13,     0.57,     4.52

  810.64,  768,     4.94,     1.48,     4.92,     0.91,     0.30,     3.81

  817.16,  768,    14.68,     4.91,     0.47,     0.58,     0.41,     3.33

  823.69,  768,     0.43,     3.58,   -16.22,     0.67,     0.44,     3.84

  830.28,  768,    -5.54,     3.86,   -29.26,     1.43,     0.55,     2.72

   837.4,  768,     0.24,    11.11,   -13.26,     0.81,     0.80,     1.42

  843.57,  768,    -1.60,     3.71,   -17.32,     0.89,     0.42,     2.34

  850.17,  768,    -22.8,   -20.30,   -15.22,     -2.1,     0.81,     3.43

  856.86,  768,     4.88,     0.70,     8.39,     0.38,     0.47,     2.55

  863.31,  768,     8.48,   -14.12,     3.40,    -1.28,     0.21,     3.76

   870.6,  768,    -1.71,   -15.15,   -13.34,    -1.57,     0.23,     4.98

  876.73,  768,     4.18,    12.77,    -3.99,     1.93,     0.86,     3.68

  883.28,  768,     11.1,    13.49,    -9.72,     1.52,     0.44,     2.47

  889.89,  768,    -9.75,     6.19,   -26.38,     0.65,     0.60,     3.14

  896.46,  768,   -14.38,      9.9,   -30.69,     1.15,     0.49,     2.57

   903.8,  768,    -2.54,     -5.4,     0.40,     0.47,     0.26,     1.83

  909.57,  768,    -1.27,   -14.65,     0.92,    -2.33,     0.71,     3.47

  916.19,  768,   -11.67,   -26.49,    -12.1,    -1.52,     0.63,     4.62

  922.88,  768,    13.11,     8.83,     1.76,     0.69,     0.13,     3.57

  929.40,  768,    13.78,    -1.89,    -5.78,     0.52,     0.42,     3.67

  935.98,  768,     3.61,     5.90,   -13.59,     0.66,     0.37,     4.10

  942.59,  768,    -3.42,    21.95,   -13.40,     2.98,     0.44,     2.69

  949.28,  768,     0.13,    15.51,    -9.63,     0.17,     0.22,     1.64

  955.80,  768,   -10.29,    -2.24,   -26.48,     0.37,     0.13,     2.69

  962.46,  768,    -15.3,   -17.65,   -13.32,    -1.76,      0.9,     3.26

  969.15,  768,    -3.60,    10.53,    -4.59,     0.54,     0.44,     2.33

  975.68,  768,      7.6,   -15.82,     1.10,    -1.61,     0.21,     3.84

  982.28,  768,      3.9,   -22.67,   -19.75,     -2.7,     0.48,      5.9

  988.83,  768,     8.41,    15.91,     2.75,     2.45,    -1.18,     3.32

  995.58,  768,     9.85,    11.81,   -14.87,     0.20,      0.3,     2.95

  1002.8,  768,    -2.20,     2.14,   -19.95,      1.2,     0.87,     3.28

 1008.70,  768,    -7.38,    13.61,   -10.98,     0.95,     0.25,     2.56

