----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ
  500.32,  512,    -2.22,    12.69,    -8.99,     0.94,     0.64,    -3.13

  506.94,  512,      2.6,    -6.39,    -9.85,    -1.17,      0.0,     -3.1

  513.53,  512,     1.78,     11.7,   -12.62,     1.71,      0.4,    -2.42

  520.20,  512,      0.0,     2.48,    -8.75,     0.91,     0.51,    -3.48

  526.66,  512,     4.24,     -4.9,   -11.56,     0.57,     0.47,     -2.1

  533.27,  512,     1.32,     12.0,   -10.99,     0.70,     0.47,     -3.1

  539.88,  512,     1.39,    -7.70,    -9.74,     -1.5,     0.26,    -2.59

  546.55,  512,     5.97,    13.51,   -10.61,     1.78,     0.32,    -2.15

  553.23,  512,     0.69,    -1.91,   -11.40,    -1.34,     0.23,     -3.4

  559.83,  512,     5.37,     0.27,    -7.99,     0.87,     0.95,    -1.69

  566.32,  512,     2.64,     7.76,   -14.80,     0.22,      0.8,    -2.78

  572.95,  512,     0.11,    -6.71,    -6.85,     0.37,     0.88,    -1.96

  579.55,  512,    10.60,    12.59,   -11.18,     0.98,     0.28,    -2.44

  586.23,  512,    -3.57,    -3.37,   -12.22,     -1.0,     0.22,    -2.26

  592.87,  512,     7.91,     3.79,    -3.67,     0.75,     -1.0,    -1.80

  599.43,  512,     2.80,     4.19,    -19.9,      0.4,     0.14,    -1.98

  605.95,  512,     -2.7,     1.18,    -3.37,     0.26,     0.44,    -1.78

  612.50,  512,    11.85,     1.65,    -9.24,     0.12,     0.54,    -1.88

  619.15,  512,      0.9,     5.78,    -14.3,     1.14,     0.27,    -1.12

  625.75,  512,     2.97,      3.2,    -3.19,     0.40,     0.10,    -2.13

  632.29,  512,     8.24,    -2.87,   -11.74,     0.19,     0.68,     0.97

  638.88,  512,     3.13,    12.71,    -9.63,     1.45,     0.10,    -1.29

  645.65,  512,     3.51,    -5.54,    -7.68,    -1.37,      0.5,    -1.74

  652.24,  512,     8.81,     5.91,   -10.37,     1.59,     0.53,     0.36

  658.78,  512,     4.68,     7.36,   -11.79,     0.29,     0.60,    -1.64

  665.38,  512,      4.0,    -6.21,    -7.19,     0.11,     0.49,     0.53

  671.82,  512,    12.34,    12.16,   -12.56,     1.20,      0.2,     0.73

  678.56,  512,     1.24,    -4.17,   -12.80,    -1.19,      0.5,     0.85

  685.17,  512,    13.96,     5.16,    -5.98,     0.98,     0.89,     0.15

  691.69,  512,     8.68,     4.77,    -19.7,     0.19,      0.4,     0.46

  698.22,  512,     4.43,    -1.16,    -4.86,      0.3,     0.59,     0.11

  704.82,  512,    15.82,     2.19,    -12.3,      0.0,     0.52,     0.15

  711.43,  512,     3.73,     3.57,   -15.61,     0.75,     0.16,     0.49

   718.9,  512,     8.18,     0.14,    -2.20,     0.47,      0.0,     0.24

  724.59,  512,    11.65,    -4.39,   -13.26,     0.16,     0.31,     0.82

  731.27,  512,     3.53,     11.4,    -9.88,     1.41,     0.45,     0.67

  737.92,  512,     6.79,    -7.64,    -7.14,    -1.31,     0.50,     0.19

  744.57,  512,    10.33,     2.30,    -9.78,     1.64,      0.6,     1.62

  751.25,  512,     5.24,      4.1,   -11.89,      0.8,     1.10,     0.48

  757.77,  512,     6.33,    -8.87,    -6.47,     0.12,     0.25,     1.40

  764.37,  512,     14.8,    10.81,   -10.43,     1.39,     0.30,     1.40

   771.7,  512,     0.92,     -6.7,   -10.14,    -1.11,     0.56,     1.14

  777.65,  512,    11.21,      2.0,    -2.61,     0.77,     0.36,     1.86

  784.19,  512,    10.73,     3.58,   -17.33,     0.14,     0.47,     1.64

  790.80,  512,     0.30,     0.59,    -2.27,      0.8,      0.5,     1.92

  797.24,  512,    13.53,     1.56,    -7.84,     0.38,      0.4,     1.84

  803.90,  512,     1.66,     5.32,   -14.24,     0.73,     0.26,     2.61

  810.58,  512,     3.50,     3.20,    -3.11,     0.84,     0.52,     1.71

  817.17,  512,     8.84,    -3.40,   -11.60,     0.37,      0.4,     2.70

  823.77,  512,     3.58,    13.12,   -10.67,     1.31,     0.56,     2.69

  830.46,  512,      2.6,    -4.12,    -8.53,    -1.72,     0.71,     1.99

   837.1,  512,     7.11,     5.95,    -8.94,      1.9,     0.15,     3.40

  843.60,  512,      3.8,      9.3,   -13.29,     0.35,      1.2,     2.25

  850.19,  512,     0.47,    -5.52,     -7.1,     0.80,     0.11,      3.4

  856.71,  512,     9.72,    12.61,    -12.6,     0.90,     0.42,      3.0

  863.33,  512,    -2.99,    -1.27,   -13.71,    -1.32,     0.72,     2.80

   870.9,  512,     7.22,     4.50,    -1.54,     0.23,     0.14,     3.30

  876.61,  512,     4.79,     5.18,   -19.13,     0.59,     0.80,     3.20

  883.21,  512,    -6.33,     2.77,    -6.46,     0.13,     0.40,     3.31

  889.81,  512,     7.55,     0.14,   -10.17,     0.88,     0.29,      3.2

  896.31,  512,    -1.53,     5.88,    -16.0,     0.78,     0.56,     3.85

  902.93,  512,    -3.85,     4.10,    -5.88,     0.67,     1.13,     2.62

  909.61,  512,     0.80,    -4.47,   -12.11,     0.68,     0.53,     3.48

  916.20,  512,    -1.90,    14.63,   -11.87,     1.33,     1.15,     3.47

  922.97,  512,    -5.86,    -4.58,   -10.65,    -1.80,     1.39,     2.52

  929.66,  512,     0.70,     3.91,     -9.8,     0.83,     0.37,     3.95

   936.1,  512,     0.62,     6.67,   -15.28,     0.66,     1.42,     2.81

  942.62,  512,    -5.15,     -6.6,    -6.81,     -1.4,     0.41,     3.78

  949.21,  512,     5.52,    11.17,   -12.29,     0.57,     0.59,     3.40

  955.83,  512,    -9.32,    -2.82,   -17.18,    -1.25,     0.85,     3.17

  962.52,  512,     1.29,     2.78,    -3.29,      0.7,      0.8,     3.45

   969.0,  512,      3.0,     3.70,   -19.14,     0.27,     0.58,     3.38

  975.62,  512,    -8.92,     3.39,    -4.76,      0.0,     0.50,     3.31

  982.22,  512,     3.25,    -1.77,    -7.82,     -1.2,     0.13,      3.0

  988.82,  512,     -5.4,     6.67,   -16.10,     0.83,     0.19,     3.86

  995.41,  512,    -6.56,     6.10,    -5.32,     0.68,     0.69,     2.49

  1002.3,  512,    -1.69,    -8.24,    -9.96,     0.78,      0.6,     3.41

 1008.60,  512,    -4.21,    13.76,   -10.50,     1.24,     0.56,     3.32

 1015.31,  512,    -7.76,    -4.36,    -8.94,    -1.90,     0.81,     2.31

 1021.91,  512,    -2.86,     4.70,    -7.24,     0.78,      0.3,     3.66

 1028.43,  512,    -5.27,     7.47,   -13.32,     0.48,      1.7,     2.36

  1035.9,  512,    -10.5,    -9.17,    -6.17,     0.96,     0.19,     2.96

 1041.64,  512,     0.46,    10.94,   -10.76,     0.84,     0.39,     2.80

 1048.23,  512,   -12.39,    -3.64,   -13.14,    -1.33,     0.78,     2.37

 1054.99,  512,    -5.89,     0.54,    -1.11,      0.9,      0.2,     2.72

 1061.41,  512,    -3.91,     2.83,   -18.53,     0.43,     0.51,     2.35

  1068.5,  512,   -14.90,     0.38,     -6.4,     0.27,     0.35,     2.31

 1074.58,  512,     0.37,    -1.43,   -10.38,     0.79,      0.3,     1.85

 1081.23,  512,    -8.92,     1.31,    -17.4,     0.42,      0.8,     2.52

 1087.84,  512,   -12.28,     1.53,    -5.15,     0.45,     0.36,      1.9

 1094.43,  512,    -3.97,    -8.92,   -12.71,     -1.5,     0.29,     1.84

 1101.13,  512,    -8.81,      8.1,   -12.31,     1.35,      0.0,     2.11

 1107.72,  512,   -10.94,    -7.34,     -9.0,    -1.59,     0.35,     0.70

 1114.24,  512,    -7.27,    -5.17,   -10.35,     0.67,     0.54,      2.8

 1120.84,  512,    -7.72,    10.78,   -11.99,     0.50,     0.48,     0.89

 1127.42,  512,   -12.39,   -13.35,    -8.38,    -1.38,      0.3,      1.0

